E01A01_A01_01.ab1 Results

Enzyme Name	Cut Positions
AatI		431, 726
AclI		346
AclWI		468, 698
AcsI		224, 545
AcuI		463, 549
AcyI		259
AfiI		203, 570, 722
AgeI		51
AgsI		11, 99, 174, 517, 732
AjnI		462, 539
AluI		500, 620
AluBI		500, 620
AlwI		468, 698
Alw26I		182
AoxI		118, 429, 600, 724
ApeKI		22, 57, 408, 536, 632
ApoI		224, 545
Asi256I		141, 210, 474, 691
AsiGI		51
AspS9I		118, 600
AsuII		128
AsuHPI		41, 231
BbvI		34, 44, 395, 523, 619
BccI		249, 380, 681
BclI		140
BdaI		368, 402
BfaI		627
BfmI		409, 485
BfuCI		140, 209, 473, 690
BglII		209
BisI		23, 58, 409, 537, 633
BlsI		24, 59, 410, 538, 634
Bme1390I		464, 541
BmgT120I		119, 601
BmrFI		464, 541
BmsI		523
Bpu14I		128
BsaHI		259
BsaWI		51
BsaXI		260
Bsc4I		203, 570, 722
BscAI		526
Bse118I		51, 60
BseBI		464, 541
Bse3DI		595
BseGI		692
BseLI		203, 570, 722
BseMI		595
BseXI		34, 44, 395, 523, 619
BseYI		323
BsgI		49, 177
BshFI		120, 431, 602, 726
BshTI		51
BsiSI		52, 61
BslI		203, 570, 722
BsmAI		182
BsnI		120, 431, 602, 726
Bsp119I		128
Bsp143I		140, 209, 473, 690
BspD6I		242, 378
BspNCI		476
BspPI		468, 698
BspT104I		128
BsrDI		595
BsrFI		51, 60
BssAI		51, 60
BssKI		462, 539
BssMI		140, 209, 473, 690
BssNI		259
BstACI		259
BstBI		128
Bst4CI		113, 125, 486
BstC8I		613
BstENI		201
BstF5I		692
BstKTI		143, 212, 476, 693
BstMAI		182
BstMBI		140, 209, 473, 690
BstMWI		256, 414, 533, 608
BstNI		464, 541
BstOI		464, 541
BstSCI		462, 539
BstSFI		409, 485
Bst2UI		464, 541
BstV1I		34, 44, 395, 523, 619
BstX2I		209
BstYI		209
BsuRI		120, 431, 602, 726
BthCI		25, 60, 411, 539, 635
BtsI		32, 334
BtsCI		692
Cac8I		613
Cfr10I		51, 60
Cfr13I		118, 600
ChaI		144, 213, 477, 694
CjeI		576, 608
CjeNII		19, 269
CjePI		480, 557
CjeP659IV		145
CjuI		396
CjuII		19
CseI		248
CsiI		462
Csp45I		128
CspAI		51
CstMI		208, 258
CviAII		76, 358
CviJI		120, 250, 309, 408, 431, 500, 527, 602, 620, 726
CviKI-1		120, 250, 309, 408, 431, 500, 527, 602, 620, 726
DpnI		142, 211, 475, 692
DpnII		140, 209, 473, 690
DraI		672
DraII		600
DrdII		655
Eco57I		463, 549
Eco147I		431, 726
Eco57MI		463, 549
EcoNI		201
EcoO109I		600
EcoRII		462, 539
EsaBC3I		129
EsaSSI		466
FaeI		79, 361
FaiI		18, 67, 77, 268, 359, 419, 682
FalI		604, 636
FatI		75, 357
FauNDI		682
FbaI		140
FmuI		121, 603
Fnu4HI		23, 58, 409, 537, 633
FokI		699
FspBI		627
FspEI		16, 37, 62, 65, 88, 105, 134, 135, 160, 189, 210, 231, 251, 291, 292, 315, 318, 336, 385, 390, 413, 445, 449, 473, 476, 509, 553, 556, 576, 577, 598, 616, 638, 640, 660, 669, 708, 727
Fsp4HI		23, 58, 409, 537, 633
GluI		23, 58, 409, 537, 633
GsaI		327
HaeI		431, 726
HaeIII		120, 431, 602, 726
HapII		52, 61
HgaI		248
HgiEII		583
Hin1I		259
Hin1II		79, 361
HincII		582
HindII		582
HinfI		234, 385
HpaI		582
HpaII		52, 61
HphI		41, 231
Hpy8I		582
Hpy166II		582
Hpy188I		473, 662
Hpy188III		441, 477, 517
HpyAV		143, 168, 326
HpyCH4III		113, 125, 486
HpyCH4IV		101, 292, 346
HpyCH4V		30, 180, 194, 411, 417, 611, 710
HpyF10VI		256, 414, 533, 608
Hsp92I		259
Hsp92II		79, 361
Ksp22I		140
KspAI		582
Kzo9I		140, 209, 473, 690
LpnPI		16, 37, 65, 101, 291, 337, 449, 454, 476, 526, 553, 598, 708
Lsp1109I		34, 44, 395, 523, 619
LweI		523
MabI		462
MaeI		627
MaeII		101, 292, 346
MaeIII		47, 105
MalI		142, 211, 475, 692
MboI		140, 209, 473, 690
MboII		23, 391, 542
MflI		209
MjaIV		579
MlyI		228, 394
MmeI		575
MnlI		239, 591, 613
MseI		202, 343, 352, 393, 495, 581, 643, 671
MslI		685
MspI		52, 61
MspJI		3, 25, 43, 47, 64, 72, 88, 101, 108, 128, 132, 146, 157, 177, 189, 217, 220, 238, 279, 292, 308, 310, 326, 344, 354, 361, 388, 396, 427, 430, 449, 453, 474, 475, 503, 526, 529, 551, 552, 571, 577, 594, 597, 613, 624, 646, 659, 669, 693, 708, 735
MspR9I		464, 541
MvaI		464, 541
MwoI		256, 414, 533, 608
NdeI		682
NdeII		140, 209, 473, 690
NgoAVIII		299
NlaIII		79, 361
NlaCI		235
NmeDI		38, 63
NmuCI		47
NspV		128
PceI		431, 726
PhoI		120, 431, 602, 726
PinAI		51
PleI		228, 393
PpsI		228, 393
Psp6I		462, 539
Psp1406I		346
PspGI		462, 539
PspPI		118, 600
PssI		603
PstI		413
PsuI		209
RleAI		319
RseI		685
SaqAI		202, 343, 352, 393, 495, 581, 643, 671
SatI		23, 58, 409, 537, 633
Sau96I		118, 600
Sau3AI		140, 209, 473, 690
SchI		228, 394
ScrFI		464, 541
SdeAI		380
SetI		104, 154, 179, 199, 295, 316, 349, 465, 502, 566, 622, 649
SexAI		462
SfaNI		523
SfcI		409, 485
SfuI		128
SgeI		17, 38, 43, 62, 64, 82, 88, 102, 108, 128, 132, 157, 158, 183, 292, 310, 318, 336, 344, 370, 370, 396, 427, 449, 453, 475, 503, 526, 529, 551, 552, 571, 577, 597, 598, 624, 709, 735
SgrAI		51
SimI		299, 320
SmiMI		685
Sse9I		224, 492, 545, 733
SseBI		431, 726
SspD5I		40, 231
Sth302II		53, 62
StsI		700
StuI		431, 726
StyD4I		462, 539
TaaI		113, 125, 486
TaiI		104, 295, 349
TaqI		128
TaqII		207
TasI		224, 492, 545, 733
Tru1I		202, 343, 352, 393, 495, 581, 643, 671
Tru9I		202, 343, 352, 393, 495, 581, 643, 671
TscAI		32, 116, 128, 334
TseI		22, 57, 408, 536, 632
TsoI		94, 598
Tsp45I		47
Tsp509I		224, 492, 545, 733
TspDTI		64, 255, 472
TspEI		224, 492, 545, 733
TspRI		32, 116, 128, 334
TssI		597
Tth111II		628
UnbI		117, 599
XagI		201
XapI		224, 545
XhoII		209
XspI		627

------------------------------

E01B12_F01_11.ab1 Results

Enzyme Name	Cut Positions
AcoI		1, 10
AcuI		470
AfaI		99, 357
AfiI		381, 426
AgsI		84, 569
AjiI		380
AluI		281
AluBI		281
Alw21I		121
AoxI		1, 10, 136, 443
ApeKI		396, 414
AquIII		399
AquIV		481
Asi256I		26
AspS9I		372, 444
AsuC2I		14, 216
AsuHPI		26, 213
AvaII		372
AvaIII		159
BbvI		401, 408
Bbv12I		121
BccI		71, 554
BceAI		25
BcefI		25
BcnI		14, 216
BfuCI		25
BglI		9
BisI		397, 415
BlsI		398, 416
Bme18I		372
Bme1390I		14, 216
BmgBI		380
BmgT120I		373, 445
BmiI		446
BmrFI		14, 216
BmsI		230, 337
BpuMI		14, 216
BsaBI		30, 540
BsaJI		359
Bsc4I		381, 426
BscAI		233, 336
Bse1I		260
Bse8I		30, 540
BseDI		359
Bse3DI		343
BseGI		116, 194, 245, 410, 565
BseJI		30, 540
BseLI		381, 426
BseMI		343
BseMII		82, 97
BseNI		260
BseRI		409
BseXI		401, 408
BseX3I		10
BsgI		415
Bsh1285I		13
BshFI		3, 12, 138, 445
BsiEI		13
BsiHKAI		121
BsiSI		13, 216
BslI		381, 426
BsnI		3, 12, 138, 445
Bsp143I		25
Bsp1286I		121
BspCNI		83, 98
BspGI		372
BspLI		446
BspNCI		374, 425
BspQI		109
BsrI		260
BsrDI		343
BsrSI		260
BssECI		359
BssKI		12, 214
BssMI		25
BssT1I		359
Bst6I		109
Bst4CI		182
BstC8I		253, 283, 443
BstDEI		91, 106
BstF5I		116, 194, 245, 410, 565
BstKTI		28
BstMBI		25
BstMCI		13
BstMWI		9, 144, 396
BstSCI		12, 214
BstV1I		401, 408
BstZI		10
BsuRI		3, 12, 138, 445
BthCI		399, 417
BtrI		380
BtsCI		116, 194, 245, 410, 565
Cac8I		253, 283, 443
CfrI		1, 10
Cfr13I		372, 444
ChaI		29
CjeNII		401
CjuI		162
Csp6I		98, 356
CstMI		402
CviAII		170, 547
CviJI		3, 12, 90, 138, 219, 281, 445
CviKI-1		3, 12, 90, 138, 219, 281, 445
CviQI		98, 356
DdeI		91, 106
DpnI		27
DpnII		25
DraI		501
DrdII		78
EaeI		1, 10
EagI		10
Eam1104I		109
EarI		109
EclXI		10
Eco47I		372
Eco52I		10
Eco57I		470
Eco130I		359
EcoHI		12, 214
Eco57MI		470
EcoT14I		359
EcoT22I		164
ErhI		359
FaeI		173, 550
FaiI		160, 164, 171, 412, 520, 548, 591, 611
FatI		169, 546
FmuI		375, 447
Fnu4HI		397, 415
FokI		123, 201, 252, 417, 572
FspEI		17, 30, 50, 63, 93, 114, 135, 152, 158, 184, 194, 222, 228, 248, 273, 288, 291, 306, 346, 352, 366, 372, 387, 412, 433, 441, 459, 497, 518, 542, 594
Fsp4HI		397, 415
GdiII		1, 10, 10
GluI		397, 415
HaeI		138
HaeIII		3, 12, 138, 445
HapII		13, 216
Hin1II		173, 550
HinfI		565
HpaII		13, 216
HphI		26, 213
Hpy8I		464
Hpy166II		464
Hpy188I		107, 489, 587
Hpy188III		84, 375
HpyAV		122, 179, 308, 433, 494, 592
HpyCH4III		182
HpyCH4IV		379, 595
HpyCH4V		162, 243, 285, 334, 396
HpyF3I		91, 106
HpyF10VI		9, 144, 396
Hsp92II		173, 550
Kzo9I		25
LguI		109
LpnPI		26, 201, 229, 237, 273, 291, 355, 376, 388, 412, 507
Lsp1109I		401, 408
LweI		230, 337
MaeII		379, 595
MalI		27
MboI		25
MboII		75, 126, 239
MfeI		244
MhlI		121
MjaIV		461
MnlI		80, 101, 128, 166, 230, 296, 395, 430, 449
Mph1103I		164
MseI		500, 529, 540, 602, 629
MspI		13, 216
MspJI		0, 25, 30, 49, 57, 70, 78, 96, 108, 113, 132, 135, 151, 156, 175, 180, 194, 201, 222, 222, 246, 264, 264, 282, 290, 307, 320, 336, 351, 356, 371, 377, 388, 397, 412, 428, 439, 459, 473, 479, 500, 505, 519, 533, 557, 571, 581, 589, 598
MspR9I		14, 216
MunI		244
MwoI		9, 144, 396
NciI		14, 216
NdeII		25
NgoAVIII		200
NhaXI		121, 223
NlaIII		173, 550
NlaIV		446
NsiI		164
PabI		100, 358
PciSI		109
PfeI		565
PhoI		3, 12, 138, 445
Ppu10I		160
Psp03I		375
PspN4I		446
PspPI		372, 444
PspPRI		92
RsaI		99, 357
RsaNI		98, 356
SapI		109
SaqAI		500, 529, 540, 602, 629
SatI		397, 415
Sau96I		372, 444
Sau3AI		25
ScrFI		14, 216
SdeAI		312, 404, 563
SduI		121
SetI		133, 283, 365, 382, 496, 598
SfaNI		230, 337
SfiI		9
SgeI		0, 25, 30, 56, 70, 87, 96, 108, 113, 134, 156, 180, 182, 201, 206, 227, 238, 264, 264, 290, 336, 356, 362, 377, 382, 403, 413, 435, 439, 461, 480, 506, 533, 559, 582, 608
SimI		212
SinI		372
Sse9I		244, 318, 530
SspD5I		25, 213
Sth132I		5, 222
Sth302II		14, 217
StsI		124, 202, 253, 418, 573
StyI		359
StyD4I		12, 214
TaaI		182
TaiI		382, 598
TaqII		372
TasI		244, 318, 530
TatI		97
TfiI		565
Tru1I		500, 529, 540, 602, 629
Tru9I		500, 529, 540, 602, 629
TscAI		267
TseI		396, 414
TsoI		254
Tsp509I		244, 318, 530
TspDTI		127, 327, 606
TspEI		244, 318, 530
TspRI		267
UnbI		371, 443
VpaK11AI		371
VpaK11BI		372
XcmI		146, 366
Zsp2I		164

------------------------------

E01E06_E03_09.ab1 Results

Enzyme Name	Cut Positions
AatI		396
AclWI		298, 569, 586, 599
AcsI		128, 727
AcuI		177
AfaI		179, 229, 352
AfiI		254, 416, 516
AgsI		33, 127, 781
AjnI		186
AjuI		472, 751
AluI		173, 796
AluBI		173, 796
AlwI		298, 569, 586, 599
Alw26I		525
AoxI		256, 394, 428, 574
ApoI		128, 727
AquIV		397
AseI		555
Asi256I		304, 562, 592
AspI		612
AspS9I		772
AsuHPI		193, 402, 489, 735
AvaII		772
AvaIII		539
BaeI		789
BamHI		591
BauI		365
Bbr7I		580
BbsI		575
BciVI		389, 757
BfaI		68, 81, 603
BfiI		443, 620
BfmI		453
BfuI		389, 757
BfuCI		303, 561, 591
Bme18I		772
Bme1390I		188
BmgT120I		773
BmiI		593, 773
BmrI		443, 620
BmrFI		188
BmsI		277
BmuI		443, 620
BpiI		575
BpuAI		575
BpuEI		507
BsaI		525
BsaAI		711
BsaJI		307, 732
Bsc4I		254, 416, 516
BscAI		276
Bse1I		438, 615
BseBI		188
BseDI		307, 732
BseLI		254, 416, 516
BseNI		438, 615
BseYI		697
BshFI		258, 396, 430, 576
BslI		254, 416, 516
BslFI		56, 450, 726
BsmAI		525
BsmFI		56, 450, 726
BsnI		258, 396, 430, 576
Bso31I		525
Bsp19I		307
Bsp24I		756
Bsp143I		303, 561, 591
BspLI		593, 773
BspNCI		279, 414
BspPI		298, 569, 586, 599
BspTNI		525
BsrI		438, 615
BsrSI		438, 615
BssECI		307, 732
BssKI		186
BssMI		303, 561, 591
BssSI		365
BssT1I		307, 732
Bst2BI		365
BstBAI		711
Bst4CI		106, 411
BstDEI		464
BstDSI		307
BstENI		252
